name,ph_seq,ph_dur
akatsuki_soft_0001_000,h u sh ui sh ir n i d e y En sh en AP m eng x iang m an t ian x ing ch en AP,0.10389 0.12739 0.12512 0.16473 0.13769 0.42102 0.10323 0.16236 0.04594 0.18782 0.09089 0.33716 0.18372 0.64246 0.42842 0.07957 0.10587 0.15022 0.18727 0.07903 0.42045 0.11426 0.32535 0.20865 0.37156 0.11563 0.58216 0.34413
akatsuki_soft_0001_001,x in q ing sh ir y i g e ch uan sh uo AP g en g u b u b ian d e d eng h ou,0.10192 0.14052 0.09135 0.16382 0.16186 0.42054 0.10362 0.15125 0.07902 0.16348 0.10338 0.3326 0.16762 0.60525 0.27886 0.10261 0.16373 0.0566 0.1874 0.10252 0.39559 0.08117 0.19853 0.05636 0.1746 0.09354 0.42406 0.09781 0.60438
akatsuki_soft_0001_002,AP ch eng zh ang sh ir y i sh an sh u y E d e m en AP t ong n ian y ou y i q vn q in ai d e r en AP,0.29045 0.12505 0.14216 0.05567 0.17522 0.16212 0.33847 0.11465 0.09276 0.14907 0.11864 0.14976 0.1056 0.07996 0.18644 0.09251 0.38931 0.08582 0.14132 0.30193 0.10316 0.16431 0.07962 0.19842 0.08024 0.39635 0.09184 0.11629 0.11407 0.15285 0.12698 0.20364 0.20359 0.0691 0.4074 0.11483 0.15125 0.28217
akatsuki_soft_0001_003,ch un t ian sh ir y i d uan l u ch eng AP c ang h ai s ang t ian d e y ong y ou,0.09147 0.15166 0.05694 0.16305 0.1499 0.40839 0.08033 0.16825 0.07544 0.23336 0.05606 0.33187 0.14473 0.61535 0.26905 0.13681 0.141 0.08118 0.12758 0.12534 0.40913 0.07981 0.21064 0.04496 0.18726 0.09121 0.43092 0.07978 0.94855
akatsuki_soft_0001_004,h u sh ui sh ir n i d e y En sh en AP m eng x iang m an t ian x ing ch en AP,0.10275 0.12814 0.11538 0.13994 0.15048 0.40802 0.10392 0.1619 0.06961 0.16329 0.06836 0.34351 0.17783 0.58265 0.26757 0.09212 0.11565 0.10391 0.2225 0.04533 0.39544 0.09229 0.34865 0.1967 0.37766 0.12021 0.56021 0.27596
akatsuki_soft_0001_005,x in q ing sh ir y i g e ch uan sh uo AP g en g u b u b ian d e d eng h ou,0.103 0.11582 0.10484 0.14023 0.16153 0.41926 0.09151 0.14009 0.09173 0.13982 0.12709 0.31449 0.19543 0.58263 0.2562 0.09078 0.15318 0.06758 0.19887 0.10333 0.36114 0.09119 0.21072 0.05695 0.18023 0.08702 0.41285 0.09805 0.57845
akatsuki_soft_0001_006,AP ch eng zh ang sh ir y i sh an sh u y E d e m en AP t ong n ian y ou y i q vn q in ai d e r en AP,0.26629 0.11366 0.15511 0.0667 0.17499 0.13851 0.38462 0.0691 0.08693 0.15567 0.14058 0.1266 0.11788 0.07952 0.18711 0.07992 0.41847 0.09232 0.17538 0.20942 0.10371 0.17493 0.06869 0.18646 0.08094 0.40702 0.05721 0.10585 0.13676 0.12926 0.10252 0.21619 0.20352 0.04505 0.42062 0.10227 0.1642 0.264
akatsuki_soft_0001_007,ch un t ian sh ir y i d uan l u ch eng AP c ang h ai s ang t ian d e y ong y ou AP,0.07871 0.16452 0.05726 0.13983 0.1385 0.37333 0.09218 0.17916 0.06367 0.2103 0.05604 0.34402 0.14339 0.57026 0.31442 0.11372 0.14073 0.0584 0.13996 0.14854 0.40808 0.06837 0.21093 0.0328 0.15303 0.10335 0.40717 0.08041 0.56821 0.37871
akatsuki_soft_0002_000,x iao x iao d e y i p ian y vn y a,0.17247 0.46438 0.12789 0.23263 0.08102 0.22262 0.10245 0.39563 0.18514 0.48861 0.12717 1.21311 0.08635 0.62652
akatsuki_soft_0002_001,m an m an d i z ou g uo l ai SP AP q ing n i m en x ie x ie j iao y a AP,0.0911 0.47785 0.09088 0.22281 0.07886 0.19317 0.12148 0.45266 0.08011 0.49986 0.10443 1.49898 0.16781 0.55241 0.20574 0.40947 0.17857 0.1628 0.1202 0.15284 0.17297 0.41913 0.18501 0.50009 0.13852 1.16251 0.11468 0.58207 0.48499
