name,ph_seq,ph_dur
baobei_000,SP w o d e b ao b ei SP b ao b ei SP g ei n i y i d ian t ian t ian AP SP,1.168258 0.2496 0.19163 0.05793 0.15245 0.11169 0.42383 0.08997 0.13063 0.29605 0.14958 0.4164 0.08432 0.17104 0.29612 0.08409 0.19452 0.08418 0.22801 0.06519 0.22345 0.04934 0.22931 0.07827 0.46448 0.09546 0.18282 0.22109 0.06392
baobei_001,r ang n i SP j in y E d ou h ao m ian AP w o d e x iao g ui SP,0.12755 0.39198 0.11607 0.27576 0.15298 0.12543 0.38337 0.14512 0.43837 0.05787 0.31645 0.23513 0.44406 0.08703 0.30476 0.23513 0.12767 0.20036 0.03475 0.08132 0.23803 0.41502 0.08414 0.15484 0.14681
chunni_000,SP d uo x iang t i q i y ong q i AP h ao h ao d i h e h u n i AP SP,0.76334 0.09865 0.23234 0.15383 0.33656 0.06381 0.34495 0.28193 0.35133 0.24091 0.20026 0.20891 0.48792 0.24235 0.11436 0.2265 0.11888 0.35913 0.08181 0.32253 0.20312 0.36281 0.23798 0.33675 0.12195 0.31342 0.34367 0.196077
chunni_001,SP b u r ang n i sh ou w ei q v AP k u y E y van y i SP n a x ie t ong d e j i y i SP,0.432426 0.11602 0.27874 0.06957 0.37157 0.08123 0.27618 0.31599 0.49051 0.13068 0.19148 0.22349 0.35991 0.1995 0.06378 0.12854 0.06671 0.31864 0.12472 0.55045 0.12415 1.74104 0.15677 0.13349 0.29033 0.12463 0.22647 0.18584 0.49049 0.09281 0.2352 0.21164 0.4559 0.21769 0.58584 0.474082
dingxiangzhishang_000,SP r uo f ei w an q ian f eng SP y ve d ou g uo y En SP,0.79237 0.1219 0.12482 0.07824 0.1046 0.05218 0.30355 0.08832 0.12199 0.11306 0.27293 0.11901 0.11607 0.30189 0.07837 0.61241 0.1712 0.25548 0.08416 2.28717 0.678148
dingxiangzhishang_001,SP AP z en h ui c uo b a x iang SP s i0 x ie ch eng y vn y En SP AP,0.494714 0.33872 0.08207 0.06974 0.09856 0.10173 0.07835 0.31643 0.04637 0.14496 0.08731 0.2276 0.25227 0.11799 0.14805 0.18278 0.57839 0.10359 0.33977 0.05799 0.14227 0.06671 2.07821 0.18878 0.38948
duo_000,SP t a AP sh ir AP t a s ui x ing h e l uo r u w o m eng j ing d e h uan x iang AP SP,0.23101 0.11724 0.35413 0.15386 0.24645 0.3224 0.54798 0.09344 0.13349 0.08987 0.14532 0.09551 0.13957 0.09575 0.13945 0.05215 0.20896 0.06676 0.14224 0.04352 0.15658 0.1279 0.6153 0.07254 0.20319 0.02907 0.10153 0.11031 0.1714 0.1392 0.25156 0.32232 0.220726
duo_001,h uan b ian x ing x i w ei n i x vn zh ao d e l i l iang AP sh en m ing g ei w o z ai z ui n an ao d e sh ir AP g uang l iu x ia w ei y i d e x ing g uang AP SP,0.1538 0.40635 0.06087 0.25855 0.14805 0.17105 0.12771 0.00296 0.20603 0.17425 0.06088 0.10739 0.14761 0.20296 0.07022 0.3181 0.1027 0.2208 0.04339 0.38613 0.06681 0.20883 0.18297 0.13627 0.10751 0.0812 0.19741 0.04055 0.15105 0.09283 0.13858 0.11996 0.39751 0.08401 0.13949 0.06967 0.18482 0.49719 0.04928 0.08146 0.13899 0.20915 0.1974 0.10063 0.13744 0.0462 0.13042 0.11922 0.20041 0.06973 0.36559 0.12172 0.4008 0.06375 0.20622 0.22059 0.22345 0.07535 0.50148 0.45426 0.429705
haitangyuxie_000,SP y i an f u zh en AP t ing x i y v f en f en SP,0.669782 0.16286 0.35984 0.26127 0.16826 0.26133 0.11598 0.29615 0.35412 0.13057 0.26709 0.17404 0.27295 0.08994 0.30471 0.1365 0.51202 0.19842 1.06377 0.79321
haitangyuxie_001,AP d u zh uo ch en h un q ve b u y i AP z ui r en SP,0.5924 0.05811 0.32455 0.07848 0.23586 0.1676 0.26415 0.11616 0.40622 0.17995 0.50804 0.10731 0.22651 0.18862 0.4525 0.22903 0.10198 0.25851 0.10446 0.91718 1.068661
junlintianxia_000,SP AP SP sh an h ai t ie t i x ia f an sh ou f u y v m ei h uang sh a AP,0.626077 0.28901 0.23924 0.15357 0.22955 0.07258 0.11029 0.04642 0.35127 0.05204 0.15632 0.15707 0.41238 0.13343 0.16841 0.14492 0.15409 0.12468 0.22066 0.06678 0.08126 0.10159 0.15966 0.17985 0.17709 0.13916 0.69671 0.30621
junlintianxia_001,b ai y i q ing x iang x ie l e f eng l iu h ua SP AP l ie h uo z ang g uo d u g u l i q ing sh an l iang x iang g u AP,0.177 0.18581 0.04936 0.08706 0.11561 0.20658 0.14208 0.15395 0.13934 0.29606 0.04063 0.05808 0.10137 0.27303 0.0579 0.48187 0.14517 0.91719 0.54141 0.43368 0.08142 0.2496 0.08404 0.04954 0.08708 0.35119 0.06379 0.22931 0.05817 0.48175 0.09865 0.22354 0.05499 0.13077 0.15087 0.21194 0.08983 0.08721 0.05213 0.23803 0.18004 0.24497 0.06378 0.69643 0.30775
lirenfu_000,SP AP SP zh an g u y ou l ei d ong SP w o j vn f u b ian sh ou AP SP,0.17415 0.41825 0.29479 0.12285 0.44984 0.1277 0.31353 0.21187 0.17712 0.17985 0.57285 0.06094 0.25652 0.23668 0.0805 0.19614 0.12016 0.42965 0.1711 0.41956 0.07399 0.26416 0.20891 0.78956 0.45278 0.217619
lirenfu_002,SP j v m u w ang y ve y a AP g u y En f ei q i m an t ian SP n ong k uang sh a AP x iao x iao l iang r en n i z ai n a AP,0.10737 0.13057 0.33657 0.04945 0.13354 0.06964 0.47025 0.08124 0.22349 0.09282 0.81861 0.2554 0.07823 0.02623 0.13065 0.08432 0.14781 0.29692 0.07756 0.20316 0.15381 0.31355 0.06361 0.21779 0.09212 0.05295 0.14821 0.0696 0.22068 0.15373 0.26416 0.20024 0.07542 0.12789 0.07528 0.13073 0.04056 0.33675 0.08111 0.24718 0.12455 0.27566 0.08414 0.2642 0.08116 0.66207 0.34639
luokong_000,SP n i sh uo w an l e d e h ua h ai z ai x in t ou x iong y ong SP,0.949084 0.11896 0.20908 0.27281 0.22926 0.22348 0.18289 0.1276 0.59516 0.05215 0.19745 0.12186 0.45857 0.18862 0.18581 0.11302 0.43558 0.21479 0.20315 0.08417 0.47604 0.18576 0.23509 0.11604 0.42671 0.41258
luokong_001,SP AP x iao zh e h ui sh ou AP h ai m ei h ui t ou SP l ei sh ui SP b i w o t an ch eng SP,0.1161 0.44087 0.12789 0.23523 0.08696 0.44414 0.1596 0.19741 0.12477 0.31932 0.20034 0.08688 0.24397 0.06667 0.47317 0.17984 0.22653 0.1132 0.37565 0.36706 0.11059 0.11329 0.17972 0.33931 0.07795 0.06179 0.15388 0.12183 0.53993 0.12191 0.31639 0.22054 0.89911 0.94816
luoriqinwenyinguanghai_000,SP AP h ai d i y in c ang d uo sh ao AP m i m i x iang c eng j ing d e n i n a b u SP an d e x in AP,0.844264 0.53697 0.13635 0.09292 0.08414 0.18875 0.10446 0.13634 0.09295 0.27629 0.03715 0.0734 0.16742 0.18006 0.11901 0.04639 0.19155 0.06386 0.12781 0.20595 0.30195 0.0899 0.11911 0.07521 0.31079 0.04928 0.1336 0.07536 0.20908 0.09863 0.25987 0.06802 0.07653 0.13181 0.32284 0.0411 0.0822 0.14661 0.40895 0.59587
luoriqinwenyinguanghai_002,SP sh ir j ie b u z ai x iu m ian AP w o z ai d eng zh e n i zh ui d e f eng ch ui g uo l ai AP d eng zh e sh a m o y ou h ai b ei j i y ou h ua k ai AP SP,0.465238 0.11894 0.15099 0.07248 0.24104 0.08711 0.10145 0.11029 0.29028 0.12465 0.2585 0.10747 0.47584 0.28737 0.04931 0.13943 0.04933 0.11899 0.05802 0.1249 0.05792 0.15103 0.055 0.23706 0.12588 0.32224 0.05358 0.14084 0.1683 0.21775 0.12753 0.26429 0.07551 0.19146 0.04343 0.21492 0.25834 0.06082 0.06982 0.06094 0.04636 0.14511 0.11618 0.0695 0.11046 0.04352 0.08423 0.09864 0.13781 0.04207 0.20044 0.14204 0.24972 0.07247 0.27289 0.06959 0.16265 0.04624 0.2295 0.29603 0.441746
qianqian_000,x iao ch ir t ang q ing l u t a l ian y i SP y i q van y i q van f an q i AP,0.17697 0.26127 0.14811 0.25248 0.10442 0.33674 0.09872 0.33076 0.07653 0.31251 0.09561 0.37459 0.05804 0.20027 0.16547 0.42673 0.30178 0.04346 0.07555 0.1769 0.33693 0.06652 0.23523 0.13056 0.26705 0.13922 0.31943 0.17707 0.69659 0.42449
qianqian_001,n a j van l ian y i SP j iu b ei w ei f eng d iao l ing,0.14214 0.24676 0.13634 0.31358 0.1043 0.31656 0.09574 0.26123 0.06646 0.0873 0.32516 0.09287 0.57762 0.11024 0.48189 0.15959 0.31931 0.10148 0.4645 0.1045 1.85243
