name,ph_seq,ph_dur
aizhiguang_20001, y ao y En d e g uang AP w ei w o m en d e q ing ch un ch a sh ang ch ir b ang AP,0.17415 0.13766 0.16441 0.0904 0.18802 0.05622 0.17502 0.07937 2.74246 0.33717 0.0789 0.17616 0.10329 0.12789 0.11558 0.17619 0.0436 0.10701 0.20551 0.3573 0.15505 0.37813 0.11996 0.36197 0.13888 0.19734 0.13797 0.36257 0.11317 0.29339 0.33324
aizhiguang_20002,AP ai d e l i l iang AP y v f eng k uang w u w o b u p a sh ou sh ang AP,0.40655 0.20764 0.09323 0.18654 0.06822 0.17991 0.05125 2.80037 0.47627 0.09126 0.14013 0.11367 0.17707 0.11386 0.1765 0.08066 0.15195 0.10288 0.37206 0.12618 0.40783 0.09121 0.15216 0.139 0.268 0.20683 0.873 0.38042
aizhiguang_20003,AP d i p ing x ian sh eng q i b u l uo d e t ai y ang AP,0.38317 0.06894 0.16269 0.07973 0.15166 0.11357 0.17143 0.09556 0.18299 0.1537 0.352 0.13773 0.38445 0.09165 0.41883 0.06773 0.13057 0.17203 0.3044 0.12638 0.33748 0.41807
aizhiguang_20004,AP w o m en d e y ing z i0 w u x ian d e y En ch ang AP q ing ch un f ei x iang ,0.38305 0.10327 0.13984 0.06872 0.2106 0.05741 0.16332 0.08018 0.19792 0.10321 0.43131 0.08054 0.30756 0.15484 0.46712 0.04389 0.15371 0.12588 0.5985 0.10875 0.3271 0.59279 0.12504 0.15214 0.0922 0.16421 0.07844 0.11826 0.17275 1.6623 0.18628
aizhiguang_20005,q ing ch un f ei x iang AP y ou m eng d e d i f ang ,0.14893 0.14008 0.06791 0.18798 0.09112 0.11778 0.19584 1.23252 0.48832 0.10273 0.12891 0.1024 0.1989 0.03305 0.10696 0.16078 0.11743 0.17252 0.57103 0.37028
haishishanmeng200k01,AP k un m ing h u p an p ang b ian AP d ui n i sh uo sh eng z ai j ian AP,0.32514 0.13602 0.17703 0.05532 0.13154 0.13636 0.10611 0.11377 0.18849 0.07982 0.20964 0.05648 0.36148 0.34927 0.07795 0.16573 0.07992 0.11021 0.15591 0.14038 0.10184 0.16018 0.08614 0.15089 0.11476 0.30399 0.33239
haishishanmeng200k02,AP sh ei d e l ei w en r ou j ia z a b ei p o t uo x ie AP q vn b ai b ai d ong z uo t ian ,0.2902 0.20683 0.36199 0.11314 0.37469 0.10098 0.42031 0.06729 0.15485 0.07809 0.18395 0.08286 0.15316 0.07927 0.16499 0.08934 0.10757 0.13574 0.14222 0.08945 0.10912 0.19465 0.24611 0.39577 0.1469 0.17764 0.04447 0.18655 0.10384 0.20393 0.05136 0.19258 0.08642 0.17495 0.1491 0.25813 0.19195
xiaxuedejijie_20001,zh ui l uo b a AP SP l uo b a AP x iang n i d e x ve h ua f ang s i0 z ai AP,0.21699 0.72248 0.09145 0.64082 0.11401 0.40813 0.20612 0.13097 0.07905 0.65119 0.09211 0.76843 0.32444 0.18444 0.29173 0.1268 0.29634 0.07432 0.24542 0.17195 0.31544 0.07993 0.25635 0.16094 0.5997 0.19045 0.62604 0.08334 0.27909 0.39287
xiaxuedejijie_20002,AP x in d i l uo x ia AP,0.34734 0.14905 0.70421 0.05185 0.6972 0.08 0.6337 0.16694 0.78762 0.74599
xiaxuedejijie_20003,AP SP zh ui l uo b a AP l uo b a AP sh en r u h ai d i b ing l eng d e sh ui AP h ui m ai z ang t a ,0.58 0.11659 0.11356 0.70951 0.09188 0.67425 0.08074 0.40728 0.32592 0.0901 0.65222 0.07937 0.79178 0.3711 0.18424 0.29285 0.10275 0.24538 0.13724 0.29682 0.10941 0.26255 0.12037 0.25782 0.16062 0.69763 0.08059 0.6494 0.16216 0.33877 0.3608 0.12527 0.66266 0.12749 0.65083 0.11449 0.67591 0.11262 0.89733 0.25952
