name,ph_seq,ph_dur
01_huanwulinglong_000,SP AP h ua d eng ch u sh ang g ong zh e y i l un m an y ve SP AP w u t ai sh ang sh an sh uo t iao y ve y v f eng j ian,0.72 0.19864 0.10305 0.15671 0.06526 0.19001 0.07313 0.03572 0.07995 0.27576 0.07693 0.16252 0.07255 0.18432 0.07691 0.34976 0.08853 0.14127 0.11111 0.21057 0.06531 0.62594 0.51605 0.24993 0.09297 0.10422 0.08271 0.17125 0.07765 0.09524 0.07382 0.26267 0.11612 0.1277 0.10735 0.19016 0.07401 0.13787 0.08127 0.28444 0.17269 0.39765 0.10448 0.4658
01_huanwulinglong_001,AP ch eng s an h ui m ou h e b ei f eng j van q i d e h ong y E,0.37442 0.11538 0.3356 0.16141 0.37446 0.1306 0.1582 0.08416 0.32509 0.15385 0.3715 0.10882 0.1466 0.13349 0.16111 0.06962 0.17709 0.1611 0.25832 0.10882 0.13934 0.12047 0.19445 0.06676 0.27934
02_renjianyibu_000,SP AP SP b ie z ou d ao g uang m ang j ian c i0 d an m ie SP AP c ai x iang q i h ua h ui x ie AP,0.5 0.34 0.10444 0.07434 0.27863 0.10446 0.10888 0.04641 0.53119 0.12331 0.20466 0.10013 0.27865 0.09435 0.1872 0.15235 0.14805 0.06093 0.11902 0.13933 0.41274 0.11093 0.3195 0.2046 0.20174 0.12481 0.2322 0.12189 0.14369 0.14803 0.16109 0.08125 0.12773 0.13351 0.30853 0.31143
02_renjianyibu_001,z uo r ir y i g e r u sh an y ve AP s uo y ou d e x iang y ve d ou t ai l in l ie,0.12044 0.20609 0.08707 0.25251 0.06823 0.19301 0.12187 0.24384 0.08124 0.15967 0.15385 0.1959 0.07836 1.89968 0.52535 0.18721 0.17706 0.0711 0.14078 0.06818 0.33237 0.15094 0.21477 0.09288 0.22494 0.08124 0.20467 0.09287 0.2351 0.08126 0.12627 0.07258 0.28867
03_xuanjingzhishi_000,SP AP r u g uo j ie b ei sh ir n i j ian d e b ao l ei,0.4 0.39963 0.11754 0.0421 0.06239 0.11902 0.09725 0.26701 0.04062 0.04355 0.21623 0.3454 0.12481 0.21043 0.13058 0.28158 0.04352 0.11756 0.1103 0.30912 0.12913 0.75223
03_xuanjingzhishi_001,SP AP r u g uo r ou r uan r ang r en j ian b u k e c ui SP,0.36 0.53976 0.11903 0.06384 0.09578 0.283 0.06963 0.15675 0.07834 0.27432 0.09577 0.25543 0.09002 0.49339 0.08416 0.28881 0.07688 0.26561 0.09287 0.09578 0.20026 0.74166 0.97891
04_shuangqici_000,SP AP r u sh ir sh uo AP r uo b u c eng y v r uo sh ui j iu g e g uo,0.38 0.45011 0.1509 0.19014 0.22927 0.21046 0.18138 0.3164 0.40199 0.11753 0.10597 0.0769 0.05516 0.12768 0.16257 0.08563 0.33959 0.00146 0.09142 0.16834 0.29606 0.10884 0.11755 0.07833 0.31496 0.10156 0.3198
04_shuangqici_001,SP AP k an r en j iang y ve s e k ong h ao l e z ao z uo AP,0.22 0.40549 0.11027 0.12632 0.00284 0.13208 0.08999 0.15963 0.07111 0.27573 0.14655 0.35704 0.15964 0.27718 0.12337 0.34684 0.09431 0.22932 0.16251 0.4717 0.15527 1.31192 0.66089
05_toajin_000,SP k e sh ang d e x i t i AP h ai w ei l ai d e j i f an p ian AP j iu r ang n i z ai SP,0.97378 0.08705 0.13209 0.12913 0.21772 0.03044 0.05083 0.17124 0.25688 0.12624 0.28447 0.21623 0.09722 0.11467 0.00143 0.05225 0.10013 0.2148 0.0029 0.06241 0.14801 0.12627 0.17126 0.29314 0.0653 0.34685 0.22785 0.08269 0.05227 0.06966 0.20463 0.10449 0.15819 0.15525 0.66325 0.35898
05_toajin_001,SP t ou k an y i y En SP AP SP c ao ch ang d e d ui j ve AP,0.32313 0.08188 0.09857 0.10304 0.17705 0.09723 0.24236 0.10449 0.27905 1.3532 0.4 0.17365 0.12186 0.16693 0.08126 0.19159 0.04347 0.06101 0.08271 0.32074 0.12337 0.30184 0.19157
